Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Law,Press_Freedom,Political_Rights,Inequality,Schooling,armed_conflicts,Unemployment rate
Afghanistan,South Asia,2.523,7.695,0.463,52.493,0.382,-0.102,0.924,0.0,41.30599029,7.142857143,41.01,2.98506999,1.0,13.28
Albania,Central and Eastern Europe,5.117,9.52,0.697,68.999,0.785,-0.03,0.901,41.10995253,60.88505127,71.42857143,34.9,11.28645502,0.0,11.82
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,26.85961632,49.141932,28.57142857,38.08,8.069284397,1.0,12.7
Argentina,Latin America and Caribbean,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,35.86212034,83.41068538,88.0952381,45.085,11.14726927,0.0,10.9
Armenia,Commonwealth of Independent States,5.283,9.487,0.799,67.055,0.825,-0.168,0.629,45.18692374,74.4414463,59.52380952,29.9,11.33030033,0.0,20.9
Australia,North America and ANZ,7.183,10.796,0.94,73.9,0.914,0.159,0.442,90.23801965,79.62223421,97.61904762,32.6,12.72681999,0.0,5.11
Austria,Western Europe,7.268,10.906,0.934,73.3,0.908,0.042,0.481,93.13280603,82.82784674,92.85714286,30.4,12.25669003,0.0,6.3
Azerbaijan,Commonwealth of Independent States,5.171,9.569,0.836,65.656,0.814,-0.223,0.506,32.74369205,42.52563411,9.523809524,38.22,10.5429697,1.0,6.58
Bahrain,Middle East and North Africa,6.647,10.669,0.862,69.495,0.925,0.089,0.722,59.60971131,33.42687534,9.523809524,55.72,11.04658985,0.0,1.87
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.041,0.682,32.07120536,39.53588775,40.47619048,42.4,7.379059792,1.0,5.23
Belarus,Commonwealth of Independent States,5.534,9.853,0.91,66.253,0.65,-0.18,0.627,19.62928997,42.76308689,9.523809524,29.035,12.14358044,0.0,4.74
Belgium,Western Europe,6.834,10.823,0.906,72.199,0.783,-0.153,0.646,81.37305228,85.11602806,97.61904762,27.15,12.37567997,0.0,6.42
Benin,Sub-Saharan Africa,5.045,8.087,0.489,54.713,0.757,-0.034,0.661,32.52209797,52.22881813,45.23809524,46.94,4.304786445,0.0,1.57
Bolivia,Latin America and Caribbean,5.716,9.046,0.81,63.901,0.875,-0.077,0.839,18.02464616,51.35456017,69.04761905,44.9,9.827750206,0.0,8.51
Bosnia and Herzegovina,Central and Eastern Europe,5.813,9.59,0.87,68.098,0.706,0.113,0.931,40.52991794,70.84727469,50.0,34.25,10.53631973,0.0,15.22
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.824,-0.246,0.801,59.8851244,63.13005936,71.42857143,59.26,10.34,0.0,24.72
Brazil,Latin America and Caribbean,6.33,9.577,0.882,66.601,0.804,-0.071,0.756,40.49162542,59.75175391,78.57142857,55.855,8.128813955,0.0,14.4
Bulgaria,Central and Eastern Europe,5.266,10.016,0.931,67.0,0.788,-0.096,0.932,46.50997346,63.81003778,83.33333333,40.27,11.41318035,0.0,5.42
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009,0.748,36.46862681,78.92066919,59.52380952,54.84,2.114962259,1.0,4.76
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,14.6959795,60.16189962,14.28571429,48.39,3.129266883,0.0,1.79
Cambodia,Southeast Asia,4.83,8.36,0.765,62.0,0.959,0.034,0.843,24.71863297,46.92930383,16.66666667,45.38,5.088,0.0,0.61
Cameroon,Sub-Saharan Africa,5.142,8.189,0.71,53.515,0.731,0.026,0.848,19.69784289,52.99514301,19.04761905,52.05,6.15131,1.0,3.87
Canada,North America and ANZ,7.103,10.776,0.926,73.8,0.915,0.089,0.415,89.03787631,88.22450081,100.0,39.7,13.83442722,0.0,7.51
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.041,0.807,13.90433221,60.63680518,7.142857143,46.73,2.57377421,1.0,1.88
Chile,Latin America and Caribbean,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,70.89767072,65.41824069,95.23809524,59.78,10.9349663,0.0,9.13
China,East Asia,5.339,9.673,0.811,69.593,0.904,-0.146,0.755,48.52259765,27.16675661,0.0,42.94,7.600118446,0.0,4.82
Colombia,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,36.12213664,45.79600648,73.80952381,54.09,8.862859726,1.0,14.34
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.548,0.082,0.781,16.4553346,64.93254182,42.85714286,50.26,5.078649,0.0,9.45
Congo (Brazzaville),Sub-Saharan Africa,5.342,8.117,0.636,58.221,0.695,-0.068,0.745,18.72033879,63.29195899,9.523809524,55.93,6.166,0.0,23.01
Costa Rica,Latin America and Caribbean,7.069,9.88,0.891,71.4,0.934,-0.126,0.809,59.12703531,92.73610362,95.23809524,49.0,8.804059982,0.0,17.95
Croatia,Central and Eastern Europe,5.882,10.217,0.924,70.799,0.754,-0.118,0.939,55.32767408,76.00647598,90.47619048,28.93,12.19108434,0.0,8.68
Cyprus,Western Europe,6.223,10.576,0.802,73.898,0.763,-0.015,0.844,63.84001151,71.20345386,95.23809524,31.22,12.44017029,0.0,6.13
Czech Republic,Central and Eastern Europe,6.965,10.556,0.947,70.807,0.858,-0.208,0.868,76.28452691,86.92930383,90.47619048,25.48,12.86931038,0.0,2.89
Denmark,Western Europe,7.62,10.933,0.954,72.7,0.946,0.03,0.179,96.90960601,97.43119266,100.0,26.49,12.96049023,0.0,4.8
Dominican Republic,Latin America and Caribbean,5.545,9.802,0.853,66.102,0.86,-0.133,0.714,45.183289,83.00053967,69.04761905,40.5,9.306864107,0.0,8.5
Ecuador,Latin America and Caribbean,5.764,9.313,0.821,68.8,0.842,-0.124,0.843,38.99197716,69.73556395,78.57142857,46.6,8.817119598,0.0,6.43
Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998,0.749,-0.182,0.795,41.39678277,32.62817053,19.04761905,35.58,9.573026174,1.0,9.33
El Salvador,Latin America and Caribbean,6.061,9.054,0.762,66.402,0.888,-0.11,0.688,26.05802103,58.38100378,66.66666667,42.1,7.150929928,0.0,5.94
Estonia,Central and Eastern Europe,6.189,10.481,0.941,68.8,0.909,-0.106,0.527,83.96202637,95.87695629,95.23809524,30.82,13.54843044,0.0,6.33
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59.0,0.752,0.082,0.761,32.19834955,54.53858608,33.33333333,45.47,3.201520681,1.0,3.69
Finland,Western Europe,7.842,10.775,0.954,72.0,0.949,-0.098,0.186,100.0,95.43443065,100.0,27.83,12.87362003,0.0,7.53
France,Western Europe,6.69,10.704,0.942,74.0,0.822,-0.147,0.571,80.43571334,84.75984889,95.23809524,33.16,11.61005974,0.0,8.06
Gabon,Sub-Saharan Africa,4.852,9.603,0.776,59.962,0.731,-0.2,0.84,29.91816548,60.44252563,11.9047619,43.32,9.436,0.0,22.26
Gambia,Sub-Saharan Africa,5.051,7.686,0.69,55.16,0.697,0.424,0.746,37.81568293,74.74365893,54.76190476,45.87,4.637487411,0.0,11.21
Georgia,Commonwealth of Independent States,4.891,9.585,0.671,64.3,0.783,-0.238,0.655,51.97945917,64.00431732,57.14285714,44.625,12.82221985,0.0,10.66
Germany,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011,0.46,88.56429503,88.54830005,97.61904762,34.8,14.09096691,0.0,3.54
Ghana,Sub-Saharan Africa,5.088,8.58,0.727,57.586,0.807,0.123,0.848,45.56603826,72.77927685,88.0952381,48.91,8.329886695,0.0,4.7
Greece,Western Europe,5.723,10.279,0.823,72.6,0.582,-0.288,0.823,56.52919858,59.92444684,92.85714286,32.57,11.40853024,0.0,14.8
Guatemala,Latin America and Caribbean,6.435,9.053,0.813,64.958,0.906,-0.038,0.775,19.81661214,51.74311927,54.76190476,53.31,5.681300163,0.0,3.57
Guinea,Sub-Saharan Africa,4.984,7.838,0.639,55.008,0.697,0.095,0.766,18.85625536,64.56556935,28.57142857,41.23,2.202125952,0.0,6.34
Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.422,0.721,15.79674599,69.6708041,30.95238095,53.31,5.554,0.0,15.73
Honduras,Latin America and Caribbean,5.919,8.648,0.812,67.3,0.857,0.081,0.809,20.33572243,37.3556395,54.76190476,51.355,7.088479996,0.0,8.51
Hong Kong S.A.R. of China,East Asia,5.477,11.0,0.836,76.82,0.717,0.067,0.403,84.44466369,44.94333513,28.57142857,48.18,12.22620964,0.0,5.32
Hungary,Central and Eastern Europe,5.992,10.358,0.943,68.0,0.755,-0.186,0.876,61.1375395,64.54398273,66.66666667,26.84,12.24958992,0.0,4.12
Iceland,Western Europe,7.554,10.878,0.983,73.0,0.955,0.16,0.673,92.28453188,89.24986508,92.85714286,29.21,13.76716995,0.0,5.4
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.089,0.774,45.56811133,44.25256341,83.33333333,57.13,6.655109195,1.0,5.98
Indonesia,Southeast Asia,5.345,9.365,0.811,62.236,0.873,0.542,0.867,41.90704332,53.17862925,76.19047619,37.26,8.556509972,1.0,4.41
